tax_id	object_id	object_label	subject_label	matches_whole_text	subject_start	subject_end	traits_dataset_term
CHEBI:16449	alanine	alanine	True	1	7		alanine
CHEBI:16977	L-alanine	alanine	True	1	7		alanine
CHEBI:46217	L-alanine residue	alanine	True	1	7		alanine
CHEBI:17234	glucose	glucose	True	1	7		glucose
CHEBI:4167	D-glucopyranose	glucose	True	1	7		glucose
CHEBI:42758	aldehydo-D-glucose	glucose	True	1	7		glucose
CHEBI:17822	serine	serine	True	1	6		serine
CHEBI:17115	L-serine	serine	True	1	6		serine
CHEBI:26986	threonine	threonine	True	1	9		threonine
CHEBI:16857	L-threonine	threonine	True	1	9		threonine
CHEBI:28675	dextrin	dextrin	True	1	7		dextrin
CHEBI:28757	fructose	fructose	True	1	8		fructose
CHEBI:28645	beta-D-fructofuranose	fructose	True	1	8		fructose
CHEBI:29987	glutamate(2-)	glutamate	True	1	9		glutamate
CHEBI:14321	glutamate(1-)	glutamate	True	1	9		glutamate
CHEBI:16015	L-glutamic acid	glutamate	True	1	9		glutamate
CHEBI:18237	glutamic acid	glutamate	True	1	9		glutamate
CHEBI:17306	maltose	maltose	True	1	7		maltose
CHEBI:18167	alpha-maltose	maltose	True	1	7		maltose
CHEBI:37684	mannose	mannose	True	1	7		mannose
CHEBI:17992	sucrose	sucrose	True	1	7		sucrose
CHEBI:22599	arabinose	arabinose	True	1	9		arabinose
CHEBI:17057	cellobiose	cellobiose	True	1	10		cellobiose
CHEBI:36217	beta-cellobiose	cellobiose	True	1	10		cellobiose
CHEBI:28260	galactose	galactose	True	1	9		galactose
CHEBI:16634	raffinose	raffinose	True	1	9		raffinose
CHEBI:17814	salicin	salicin	True	1	7		salicin
CHEBI:18222	xylose	xylose	True	1	6		xylose
CHEBI:17754	glycerol	glycerol	True	1	8		glycerol
CHEBI:29864	mannitol	mannitol	True	1	8		mannitol
CHEBI:16899	D-mannitol	mannitol	True	1	8		mannitol
CHEBI:30911	glucitol	sorbitol	True	1	8		sorbitol
CHEBI:16236	ethanol	ethanol	True	1	7		ethanol
CHEBI:30089	acetate	acetate	True	1	7		acetate
CHEBI:47622	acetate ester	acetate	True	1	7		acetate
CHEBI:29016	arginine	arginine	True	1	8		arginine
CHEBI:16467	L-arginine	arginine	True	1	8		arginine
CHEBI:32696	argininium(1+)	arginine	True	1	8		arginine
CHEBI:15428	glycine	glycine	True	1	7		glycine
CHEBI:29947	glycine residue	glycine	True	1	7		glycine
CHEBI:57305	glycine zwitterion	glycine	True	1	7		glycine
CHEBI:27570	histidine	histidine	True	1	9		histidine
CHEBI:15971	L-histidine	histidine	True	1	9		histidine
CHEBI:24996	lactate	lactate	True	1	7		lactate
CHEBI:25017	leucine	leucine	True	1	7		leucine
CHEBI:15603	L-leucine	leucine	True	1	7		leucine
CHEBI:17272	propionate	propionate	True	1	10		propionate
CHEBI:17716	lactose	lactose	True	1	7		lactose
CHEBI:36218	beta-lactose	lactose	True	1	7		lactose
CHEBI:36219	alpha-lactose	lactose	True	1	7		lactose
CHEBI:28053	melibiose	melibiose	True	1	9		melibiose
CHEBI:26546	rhamnose	rhamnose	True	1	8		rhamnose
CHEBI:33942	ribose	ribose	True	1	6		ribose
CHEBI:27476	beta-D-ribopyranose	ribose	True	1	6		ribose
CHEBI:45506	alpha-D-ribose	ribose	True	1	6		ribose
CHEBI:47013	D-ribofuranose	ribose	True	1	6		ribose
CHEBI:27082	trehalose	trehalose	True	1	9		trehalose
CHEBI:16551	alpha,alpha-trehalose	trehalose	True	1	9		trehalose
CHEBI:22653	asparagine	asparagine	True	1	10		asparagine
CHEBI:17196	L-asparagine	asparagine	True	1	10		asparagine
CHEBI:50347	L-asparagine residue	asparagine	True	1	10		asparagine
CHEBI:50348	L-asparaginyl group	asparagine	True	1	10		asparagine
CHEBI:33830	galacturonic acid	galacturonic acid	True	1	17		galacturonic acid
CHEBI:24266	gluconic acid	gluconic acid	True	1	13		gluconic acid
CHEBI:33198	D-gluconic acid	gluconic acid	True	1	13		gluconic acid
CHEBI:17268	myo-inositol	myo-inositol	True	1	12		myo-inositol
CHEBI:15361	pyruvate	pyruvate	True	1	8		pyruvate
CHEBI:25115	malate	malate	True	1	6		malate
CHEBI:15595	malate(2-)	malate	True	1	6		malate
CHEBI:30797	(S)-malic acid	malate	True	1	6		malate
CHEBI:28087	glycogen	glycogen	True	1	8		glycogen
CHEBI:26806	succinate	succinate	True	1	9		succinate
CHEBI:30031	succinate(2-)	succinate	True	1	9		succinate
CHEBI:27248	urocanic acid	urocanic acid	True	1	13		urocanic acid
CHEBI:30817	trans-urocanic acid	urocanic acid	True	1	13		urocanic acid
CHEBI:22605	arabinitol	arabitol	True	1	8		arabitol
CHEBI:33033	2-oxopentanoic acid	alpha-ketovaleric acid	True	1	22		alpha-ketovaleric acid
CHEBI:132943	aspartate	aspartate	True	1	9		aspartate
CHEBI:29995	aspartate(2-)	aspartate	True	1	9		aspartate
CHEBI:72314	aspartate salt	aspartate	True	1	9		aspartate
CHEBI:30751	formic acid	formic acid	True	1	11		formic acid
CHEBI:51850	methyl pyruvate	methyl pyruvate	True	1	15		methyl pyruvate
CHEBI:26271	proline	proline	True	1	7		proline
CHEBI:17203	L-proline	proline	True	1	7		proline
CHEBI:53423	polysorbate 40	Tween 40	True	1	8		Tween 40
CHEBI:53426	polysorbate 80	Tween 80	True	1	8		Tween 80
CHEBI:133748	citrate anion	citrate	True	1	7		citrate
CHEBI:16947	citrate(3-)	citrate	True	1	7		citrate
CHEBI:50744	citrate salt	citrate	True	1	7		citrate
CHEBI:5291	gelatin	gelatin	True	1	7		gelatin
CHEBI:15792	malonate(2-)	malonate	True	1	8		malonate
CHEBI:38083	malonate ester	malonate	True	1	8		malonate
CHEBI:62064	butane-2,3-diol	2,3-butanediol	True	1	14		2,3-butanediol
CHEBI:18257	ornithine	ornithine	True	1	9		ornithine
CHEBI:44667	L-ornithinium(2+)	ornithine	True	1	9		ornithine
CHEBI:18401	phenylacetate	phenylacetate	True	1	13		phenylacetate
CHEBI:28044	phenylalanine	phenylalanine	True	1	13		phenylalanine
CHEBI:17295	L-phenylalanine	phenylalanine	True	1	13		phenylalanine
CHEBI:58095	L-phenylalanine zwitterion	phenylalanine	True	1	13		phenylalanine
CHEBI:37054	3-hydroxybutyrate	3-hydroxybutyrate	True	1	17		3-hydroxybutyrate
CHEBI:16808	2-dehydro-D-gluconate	2-ketogluconate	True	1	15		2-ketogluconate
CHEBI:58143	5-dehydro-D-gluconate	5-ketogluconate	True	1	15		5-ketogluconate
CHEBI:15963	ribitol	adonitol	True	1	8		adonitol
CHEBI:33984	fucose	fucose	True	1	6		fucose
CHEBI:5417	glucosamine	glucosamine	True	1	11		glucosamine
CHEBI:17151	xylitol	xylitol	True	1	7		xylitol
CHEBI:17596	inosine	inosine	True	1	7		inosine
CHEBI:16199	urea	urea	True	1	4		urea
CHEBI:21217	L-alaninamide	alaninamide	True	1	11		alaninamide
CHEBI:32323	beta-D-glucuronamide	glucuronamide	True	1	13		glucuronamide
CHEBI:17240	itaconate(2-)	itaconate	True	1	9		itaconate
CHEBI:24149	galactonic acid	galactonic acid	True	1	15		galactonic acid
CHEBI:16704	uridine	uridine	True	1	7		uridine
CHEBI:53424	polysorbate 20	Tween 20	True	1	8		Tween 20
CHEBI:53425	polysorbate 60	Tween 60	True	1	8		Tween 60
CHEBI:27897	tryptophan	tryptophan	True	1	10		tryptophan
CHEBI:16828	L-tryptophan	tryptophan	True	1	10		tryptophan
CHEBI:57719	D-tryptophan zwitterion	tryptophan	True	1	10		tryptophan
CHEBI:57912	L-tryptophan zwitterion	tryptophan	True	1	10		tryptophan
CHEBI:31011	valerate	valerate	True	1	8		valerate
CHEBI:17418	valeric acid	valerate	True	1	8		valerate
CHEBI:27689	decanoate	caprate	True	1	7		caprate
CHEBI:40585	alpha-cyclodextrin	alpha-cyclodextrin	True	1	18		alpha-cyclodextrin
CHEBI:16193	3-hydroxybenzoate	3-hydroxybenzoate	True	1	17		3-hydroxybenzoate
CHEBI:9300	suberic acid	suberic acid	True	1	12		suberic acid
CHEBI:17748	thymidine	thymidine	True	1	9		thymidine
CHEBI:320055	methyl beta-D-glucopyranoside	methyl beta-D-glucoside	True	1	23		methyl beta-D-glucoside
CHEBI:17148	putrescine	putrescine	True	1	10		putrescine
CHEBI:326268	1,4-butanediammonium	putrescine	True	1	10		putrescine
CHEBI:18397	2-phenylethylamine	phenethylamine	True	1	14		phenethylamine
CHEBI:53258	sodium citrate	trisodium citrate	True	1	17		trisodium citrate
CHEBI:17126	carnitine	carnitine	True	1	9		carnitine
CHEBI:16347	(R)-carnitine	carnitine	True	1	9		carnitine
CHEBI:3424	carnitinium	carnitine	True	1	9		carnitine
CHEBI:39547	(R)-carnitinium	carnitine	True	1	9		carnitine
CHEBI:16865	gamma-aminobutyric acid	gamma-aminobutyric acid	True	1	23		gamma-aminobutyric acid
CHEBI:26493	quinic acid	quinic acid	True	1	11		quinic acid
CHEBI:17521	(-)-quinic acid	quinic acid	True	1	11		quinic acid
CHEBI:17824	propan-2-ol	2-propanol	True	1	10		2-propanol
CHEBI:46645	isobutanol	isobutanol	True	1	10		isobutanol
CHEBI:16133	cyclopentanol	cyclopentanol	True	1	13		cyclopentanol
CHEBI:35687	butan-2-ol	2-butanol	True	1	9		2-butanol
CHEBI:45475	(2S)-butan-2-ol	2-butanol	True	1	9		2-butanol
CHEBI:17170	dimethylamine	dimethylamine	True	1	13		dimethylamine
CHEBI:58040	dimethylaminium	dimethylamine	True	1	13		dimethylamine
CHEBI:17437	dimethyl sulfide	dimethyl sulfide	True	1	16		dimethyl_sulfide
CHEBI:18139	trimethylamine	trimethylamine	True	1	14		trimethylamine
CHEBI:58389	trimethylammonium	trimethylamine	True	1	14		trimethylamine
CHEBI:17790	methanol	methanol	True	1	8		methanol
CHEBI:16830	methylamine	methylamine	True	1	11		methylamine
CHEBI:59338	methylammonium	methylamine	True	1	11		methylamine
CHEBI:28885	butan-1-ol	1-butanol	True	1	9		1-butanol
CHEBI:28831	propan-1-ol	propanol	True	1	8		propanol
CHEBI:17245	carbon monoxide	carbon monoxide	True	1	15		carbon_monoxide
